"Order","Index","Topic","Argument","Words","Condition_Share","Share","Agreement","Agreement.Contacts","New","Dwell.Time"
1,217,"Er det etisk forkert at spise kød?","At indtage kød er en vigtig del af mange kulturer og religioner",11,1,0,100,90.27608,1,4450.997
2,115,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Effekterne fra strålinger fra mobiltelefoner og Wi-Fi er minimale",11,1,0,48.0637,29.73146,0,4327.329
3,190,"Bør religion være involveret i politik?","Næsten alle love er baseret på moralske overbevisninger, derfor er det passende, at religiøse personer deltager i politik",20,1,0,99.32159,99.44219,0,9244.33
4,161,"Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?","Mennesker i nutidens samfund bør ændre deres livsstil, fordi livskvaliteten for kommende generationer er lige så vigtig.",19,1,0,86.17545,93.53246,0,22158.6239999999
5,149,"Er moderne teknologi er en ulempe for samfundet?","Et samfund bliver sårbart ved at stole for meget på teknologi",9,1,0,0,14.17318,0,4190.331
6,212,"Er det etisk forkert at spise kød?","At spise kød  indebærer for det meste en umoralsk og grusom behandling af dyr",15,1,0,90.6379,83.28088,0,2781.332
7,177,"Bør dyreforsøg forbydes?","Der er foretrukne alternativer til dyreforsøg, som er mere præcise og humane",13,1,0,73.99416,87.38151,0,4408.332
8,29,"Er mennesker fundamentalt anderledes end andre dyr?","Genetik beviser, at mennesker grundlæggende ligner andre arter",10,1,0,94.49731,88.10515,0,3341.999
9,159,"Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?","Ændringer i individuelle livsstile gør ingen forskel",9,1,0,45.65156,38.29454,0,1341.999
10,117,"Er videnskab lig religion?","Videnskab og religion ligner hinanden ved, at begge er blevet brugt til at forklare menneskets oprindelse",17,1,0,46.85763,44.32488,0,1743.665
11,143,"Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?","At blive udpeget til en magtposition ved lotteri ville efterlade mange mennesker overvældet og uforberedte",16,1,0,63.50137,65.55168,1,13974.998
12,128,"Er videnskab lig religion?","Der findes mange forskellige former for religioner, nogle ligner videnskab, mens andre ikke gør",16,1,0,27.07811,22.25384,1,7140.665
13,237,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Beviser og statistikker tyder på, at de handlinger, vi foretager os, er tilstrækkelige til at håndtere større klimaforandringer",17,1,0,56.02374,59.88316,1,3360.663
14,229,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Konsekvenserne af global opvarmning udgør en direkte trussel mod det land og miljø, der er nødvendigt for menneskets overlevelse",16,1,0,57.10921,59.76256,0,3674.328
15,158,"Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?","Politikere og politiske partier bør være ansvarlige for at vedtage de love og reguleringer, der er nødvendige for at foretage ændringer i en stor skala",19,1,0,92.56761,96.78884,0,11607.32
16,153,"Er moderne teknologi er en ulempe for samfundet?","For at undgå en katastrofe bør teknologisk udvkling følge med den hurtige forandring i vores samfund",17,1,0,98.47734,99.08037,0,4691.665
17,167,"Liv vs. valg: Bør abort være lovligt?","Hvis folk har ret til at vælge, kan de træffe forudindtaget valg med hensyn til, hvilke fostre der skal aborteres",17,1,0,100,98.83916,0,5592.999
18,26,"Er mennesker fundamentalt anderledes end andre dyr?","Alle dyr er grundlæggende forskellige fra hinanden, og der er intet unikt ved mennesker, der adskiller dem fra dyr",19,1,0,99.20098,85.3312,0,6726.997
19,101,"Er det etisk forkert at se pornografi?","Onani er naturaligt og gavnligt og her er pornografi et brugbart hjælpemiddel",12,1,0,100,98.11552,0,4552.331
20,202,"Bør salget af genetisk modificeret mad forbydes?","Genetiske modificerede afgrøder kan bidrage til at reducere verdens sult og ernæringsmæssige mangler",12,1,0,76.16508,84.36634,0,1739.999
21,62,"Hjælper eller skader elektroniske apparater børns udvikling?","Kedsomhed giver anledning til kreativitet, men med en smartphone keder børn sig aldrig og lærer ikke at være kreative",17,1,0,82.79845,74.7178,0,5393.333
22,164,"Liv vs. valg: Bør abort være lovligt?","Mennesker har ret til selvbestemmelse over deres krop og bør kunne træffe et eget valg om, hvad der sker med deres kroppe",21,1,0,100,99.44219,0,2599.332
23,276,"Bør der ikke være nogen begrænsning for ytringsfriheden?","Isoleret tale kan ikke påføre fysisk skade",9,1,0,100,100,0,3415.998
24,219,"Er det etisk forkert at spise kød?","At spise kød er en integreret del af menneskets natur, evolution, fysiologi og biologi, og derfor er indtagelsen af kød naturligt for menneskeheden",20,1,0,4.04221,18.0326,0,2881.999
25,130,"Hjælper eller skader sociale medier menneskelige relationer?","Sociale medier har gjort det lettere at kommunikere og forbedret kvaliteten af kommunikationen",13,1,0,90.99972,81.8336,0,5333.332
26,198,"Bør sexarbejde være lovligt?","Legalisering af sexarbejde øger dets udbredelse og medfører større skade",12,1,0,30.4551,17.42957,0,2741.332
27,287,"Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?","Det er umuligt at stoppe klimaforandringerne og deres påvirkninger",10,1,0,19.60049,12.00226,0,2217.332
28,180,"Bør dyreforsøg forbydes?","Dyreforsøg er en effektiv metode til at teste produkter",9,1,0,65.67229,25.51022,0,2315.998
29,222,"Bør brugen af plastik undgås?","Plastik bliver eksporteret, hvorfor et nedsat forbrug af plastik vil reducere CO2-emmisionen, der stammer fra transport",13,1,0,1.26826,24.42476,0,3016.999
30,176,"Bør abort betragtes som mord?","At sidestille abort med mord ville få kvinder til at bruge usikre metoder og sætte deres liv i fare",17,1,0,0,0.18279,0,4348.666
31,136,"Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?","Politik ville være mere repræsentativt under et lotterisystem",9,1,0,44.20428,43.23942,0,7791.64899999999
32,188,"Bør religion være involveret i politik?","Det er nødvendigt at involvere religion i politik for at sikre, at love og politikker er etiske",15,1,0,97.99491,89.43183,0,2476.332
33,281,"Bør der ikke være nogen begrænsning for ytringsfriheden?","Én persons frihed slutter, hvor en andens begynder: stødende og truende tale bør være ulovlig",13,1,0,99.80401,89.91426,0,6859.666
34,220,"Bør brugen af plastik undgås?","Jo mindre plastik vi bruger, desto mindre plastikforurening vil der være",12,1,0,28.52539,14.535,0,2834.332
35,134,"Hjælper eller skader sociale medier menneskelige relationer?","Det er blevet påvist, at sociale medier kan føre til depression hos individer",9,1,0,99.20098,99.44219,0,5031.998
36,290,"Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?","Hvis vi beslutter os for at tilpasse os klimaforandringerne, vil vi miste evnen til at afværge dem",17,1,0,68.20503,84.48695,0,3025.663
37,175,"Bør abort betragtes som mord?","Et foster eller en embryon er ikke en person; derfor bør abort ikke betragtes som mord.",15,1,0,99.44219,100,0,4157.994
38,184,"Bør atomkraft erstatte fossile brændstoffer?","Der er bekymring vedrørende sikkerheden i forbindelse med kernekraftreaktorer og potentiel fare for aktørerne",13,1,0,80.50693,89.19062,0,4527.996
39,156,"Er moderne teknologi er en ulempe for samfundet?","Mange samfund ville ikke være mulige uden moderne teknologi - især store urbaniserede samfund",14,1,0,98.35673,97.15066,0,4075.666
40,60,"Hjælper eller skader elektroniske apparater børns udvikling?","Elektroniske enheder kan have en negativ indvirkning på børns sociale og psykologiske udvikling",9,1,0,87.74333,79.42146,0,3234.666
41,228,"Bør brugen af plastik undgås?","Plastik bliver sandsynligvis erstattet af noget, der er mindre miljøvenligt. Så det ville ikke give mening at undgå brugen af plastik",16,1,0,92.56761,93.89428,0,3308.333
42,112,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Mobiltelefonstråling absorberes mere af børns hjerner end af voksnes hjerner",13,1,0,54.33525,71.2202,0,2407.999
43,21,"Er mennesker fundamentalt anderledes end andre dyr?","Mennesker er intellektuelt overlegne overfor andre væsener på Jorden",9,1,0,100,98.35673,0,600.666
44,199,"Bør salget af genetisk modificeret mad forbydes?","Genetisk modificeret mad udgør en trussel mod sundheden for dem, der indtager det.",11,1,0,74.35598,81.95421,0,2558.665
45,107,"Er det etisk forkert at se pornografi?","At se pornografi bidrager til overtrædelser af menneskerettighederne, herunder kønslig ulighed",10,1,0,0,3.801,1,1800.666
46,195,"Bør sexarbejde være lovligt?","Regeringen har ikke ret til at forbyde en interaktion mellem samtykkende voksne",12,1,0,0,0,0,3849.664
47,288,"Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?","Menneskeheden har en lang historie med succesfuldt at tilpasse sig til klimaforandringer",11,1,0,46.49581,14.65561,0,1449.664
48,246,"Bør alle stoffer blive legaliseret?","Hvis stoffer blev legaliseret, ville narkohandlen være mindre i stand til at fremme alvorlig kriminalitet",15,1,0,74.95901,76.28569,0,3549.666
49,132,"Hjælper eller skader sociale medier menneskelige relationer?","Sociale medier giver brugerne mulighed for at oprette forbindelse til flere mennesker",9,1,0,100,100,0,1499.665
50,245,"Bør alle stoffer blive legaliseret?","Det har skadet samfund i hele verden at håndhæve kriminialisering af stoffer og bør stoppes",17,1,0,86.41666,92.447,0,2616.666
51,56,"Hjælper eller skader elektroniske apparater børns udvikling?","Elektroniske apparater hjælper børn med særlige behov med at læse og skrive ligesom andre børn",12,1,0,85.81362,74.83841,0,3656.664
52,213,"Er det etisk forkert at spise kød?","Vegetariske kostvaner bidrager direkte og indirekte til bedre sundhedsresultater for alle mennesker",13,1,0,22.85687,28.88721,0,2514.999
53,31,"Er Darwins evolutionsteori filosofi eller videnskab?","Der er aldrig blevet dokumenteret et enkelt eksempel på evolution",9,1,0,0.42401,6.81617,0,6201.998
54,280,"Bør der ikke være nogen begrænsning for ytringsfriheden?","Ubegrænset ytringsfrihed kan bruges til at sprede hadefulde og/eller skadelige ideologier",13,1,0,57.95345,72.30566,0,5241.665
