"Order","Index","Topic","Argument","Words","Condition_Share","Share","Agreement","Agreement.Contacts","New","Dwell.Time"
1,151,"Moderne teknologi er en ulempe for samfundet","Teknolgi forhindrer os i at nyde de nuværende øjeblikke",14,0,0,43.2602,30.23434,0,9520.983
2,233,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Menneskets evolution er langsommere end klimaforandringerne, hvilket gør det svært for mennesker at tilpasse sig klimaforandringer",20,0,0,67.04136,72.41901,0,9224.997
3,176,"Bør abort betragtes som mord?","At sidestille abort med mord ville få kvinder til at bruge usikre metoder og sætte deres liv i fare",17,0,0,100,94.52712,0,6349.332
4,193,"Bør religion blive involveret i politik?","At involvere religion i politik er i modstrid med principperne for et sekulært demokratisk samfund",14,0,0,77.55765,65.0098,1,3858.998
5,56,"Hjælper eller skader elektroniske apparater børns udvikling?","Elektroniske apparater hjælper børn med særlige behov med at læse og skrive ligesom andre børn",12,0,0,98.59023,90.82252,0,6491.329
6,23,"Er mennesker fundamentalt anderledes end andre dyr?","Mennesker har en følelse af selvbevidsthed og individuel identitet",9,0,0,90.82252,76.00411,1,5174.663
7,230,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Dyrearter er allerede begyndt at uddø. Udryddelsen af menneskeheden er sandsynligvis det næste",14,0,0,50,74.68957,0,6006.997
8,143,"Lotteri bør være en integreret del af demokratiske politiske systemer","At blive udpeget til en magtposition ved lotteri ville efterlade mange mennesker overvældede og uforberedte",16,0,0,25.57371,36.09,0,6022.99099999999
9,222,"Brugen af plastik bør undgås","Plastik bliver eksporteret, hvorfor et nedsat forbrug af plastik vil reducere CO2-emmision, der stammer fra transport",13,0,0,60.94669,61.66371,1,8557.31999999999
10,188,"Bør religion blive involveret i politik?","Det er nødvendigt at involvere religion i politik for at sikre, at love og politikker er etiske",15,0,0,22.82513,37.04603,1,4819.663
11,247,"Bør alle stoffer blive legaliseret?","At tage stoffer kan være en vigtig og positiv oplevelse for enkeltpersoner og fællesskaber",13,0,0,58.55662,20.31556,0,3249.663
12,290,"Vi bør tilpasse os klimaforandringer i stedet for at forhindre dem","Hvis vi beslutter os for at tilpasse os klimaforandringerne, vil vi miste evnen til at afværge dem",17,0,0,79.94772,50,0,1856.661
13,161,"Ingen bør føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning","Mennesker i nutidens samfund bør ændre deres livsstil, fordi livskvaliteten for kommende generationer er lige så vigtig.",19,0,0,78.75268,24.85669,0,2616.661
14,113,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Mobiltelefonstråling øger gennemtrængeligheden af blod-hjerne-barrieren",10,0,0,50,50,1,8.333
