"Order","Index","Topic","Argument","Words","Condition_Share","Share","Agreement","Agreement.Contacts","New","Dwell.Time"
1,227,"Brugen af plastik bør undgås","Så længe det er genanvendeligt, er der intet i vejen med plastik",12,0,0,100,100,0,15337.637
2,124,"Er videnskab lig religion?","I modsætning til religion er videnskab baseret på beviser og eksperimentering, hvilket er en mere pålidelig metode til at opnå sandheden",18,0,0,100,99.68341,0,5581.985
3,242,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Menneskeskabte kulstofemissioner vil sandsynligvis beskytte mennesker mod en anden istid",12,0,0,19.35928,52.16433,1,9456.659
4,159,"Ingen bør føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning","Ændringer i individuelle livsstile gør ingen forskel",9,0,0,21.40959,23.45991,1,4633.324
5,290,"Vi bør tilpasse os klimaforandringer i stedet for at forhindre dem","Hvis vi beslutter os for at tilpasse os klimaforandringerne, vil vi miste evnen til at afværge dem",17,0,0,94.73853,97.87431,1,11442.644
6,158,"Ingen bør føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning","Politikere og politiske partier bør være ansvarlige for at vedtage de love og reguleringer, der er nødvendige for at foretage ændringer i en stor skala",19,0,0,81.71299,87.98455,0,9021.996
7,153,"Moderne teknologi er en ulempe for samfundet","For at undgå en katastrofe bør teknologisk udvkling følge med den hurtige forandring i vores samfund",17,0,0,90.03486,85.57241,0,4733.994
8,161,"Ingen bør føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning","Mennesker i nutidens samfund bør ændre deres livsstil, fordi livskvaliteten for kommende generationer er lige så vigtig.",19,0,0,100,100,0,4136.327
9,31,"Er Darwins evolutionsteori filosofi eller videnskab?","Der er aldrig blevet dokumenteret et enkelt eksempel på evolution",9,0,0,54.33525,56.9886,1,4700.658
10,199,"Bør salget af genetisk modificeret mad forbydes?","Genetisk modificeret mad udgør en trussel mod sundheden for dem, der indtager det.",11,0,0,25.75144,25.1484,1,3867.997
11,228,"Brugen af plastik bør undgås","Plastik bliver sandsynligvis erstattet af noget, der er mindre miljøvenligt. Så det ville ikke give mening at",16,0,0,29.36964,25.87204,0,7819.661
12,286,"Vi bør tilpasse os klimaforandringer i stedet for at forhindre dem","At tilpasse sig klimaforandringerne ville være hurtigere end at afværge dem",10,0,0,90.03486,88.82879,1,2065.325
13,164,"Pro-Liv vs. Pro-Valg: Bør abort være lovligt?","Mennesker har ret til selvbestemmelse over deres krop og bør kunne træffe et eget valg om, hvad der sker med deres kroppe",21,0,0,100,100,0,2117.659
14,152,"Moderne teknologi er en ulempe for samfundet","Moderne teknologi overgår vores evne til at forstå, formulere og godkende effektive politikker, der kan beskytte os mod teknologisk skade",21,0,0,85.21059,84.60756,0,3744.995
15,128,"Er videnskab lig religion?","Der findes mange forskellige former for religioner, nogle ligner videnskab, mens andre ikke gør det",16,0,0,71.94384,72.42627,1,1483.332
16,54,"Hjælper eller skader elektroniske apparater børns udvikling?","Elektroniske enheder kan gavne forældre ved at tilbyde dem større kontrol over deres børns udvikling",13,0,0,78.81843,72.06445,0,10892.98
17,221,"Brugen af plastik bør undgås","Jo mindre plastik vi bruger, desto mindre plastik skal vi producere",12,0,0,94.61792,94.13549,0,4250.655
18,289,"Vi bør tilpasse os klimaforandringer i stedet for at forhindre dem","Tilpasning er en kortvarig løsning, mens afværgelse af klimaforandringer er en langvarig løsning",13,0,0,79.05964,88.70819,1,397.999
19,184,"Bør atomkraft erstatte fossile brændstoffer?","Der er bekymring vedrørende sikkerheden i forbindelse med kernekraftreaktorer og potentiel fare for interessenter",13,0,0,25.26901,25.75144,0,3582.995
20,56,"Hjælper eller skader elektroniske apparater børns udvikling?","Elektroniske apparater hjælper børn med særlige behov med at læse og skrive ligesom andre børn",12,0,0,80.0245,82.19542,1,1498.998
21,123,"Er videnskab lig religion?","Videnskab er yderst dynamisk og konstant i udvikling; religioner er normalt statiske og bevarende",13,0,0,100,99.5628,1,2325.662
22,116,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Mobiltelefoner og Wi-Fi udsender ikke-ioniserende stråling, som ikke er skadelig i små doser.",14,0,0,97.51248,98.23613,0,3099.331
23,119,"Er videnskab lig religion?","Både videnskab og religion bruger personlige erfaringer som en måde at forstå tilværelsen på",13,0,0,72.9087,71.09959,1,1048.665
24,287,"Vi bør tilpasse os klimaforandringer i stedet for at forhindre dem","Det er umuligt at stoppe klimaforandringerne og deres påvirkninger",10,0,0,27.92236,79.42146,1,4281.998
25,50,"Skabte et guddommeligt væsen universet?","Observationer af Guds skabende kraft er aftaget, efterhånden som menneskeheden har udviklet sig",11,0,0,98.71855,99.20098,0,9268.319
26,151,"Moderne teknologi er en ulempe for samfundet","Teknolgi forhindrer os i at nyde de nuværende øjeblikke",14,0,0,100,60.24498,0,4209.326
27,249,"Bør alle stoffer blive legaliseret?","Stoffer bør forblive forbudt, fordi de er sundhedsskadelige for de personer, der bruger dem",16,0,0,95.58278,95.34156,0,5498.991
28,47,"Skabte et guddommeligt væsen universet?","Der er tegn på en guddommelig skaber grundet mange komplekse fænomener og interaktioner i universet",14,0,0,6.45435,6.57496,0,2940.993
29,245,"Bør alle stoffer blive legaliseret?","Det har skadet samfund i hele verden at håndhæve kriminialisering af stoffer og bør stoppes",17,0,0,27.43993,41.0685,0,6657.993
30,280,"Der bør ikke være nogen begrænsning for ytringsfriheden","Ubegrænset ytringsfrihed kan bruges til at sprede hadefulde og/eller skadelige ideologier",13,0,0,73.99416,73.0293,0,1350.66
31,216,"Etikken ved at spise dyr: Er det forkert at spise kød?","Smagen af kød er lækker og giver mange mennesker glæde på en måde, som vegetarisk mad ikke fuldt ud kan efterligne",20,0,0,69.4111,64.22501,0,1707.664
32,115,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Effekterne fra strålinger af mobiltelefoner og Wi-Fi er minimale",11,0,0,98.95977,99.44219,0,5710.986
33,113,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Mobiltelefonstråling øger gennemtrængeligheden af blod-hjerne-barrieren",10,0,0,11.27862,20.08292,0,5767.322
34,62,"Hjælper eller skader elektroniske apparater børns udvikling?","Kedsomhed giver anledning til kreativitet, men med en smartphone keder børn sig aldrig og lærer ikke at være kreative",17,0,0,87.50212,85.57241,1,466.665
35,167,"Pro-Liv vs. Pro-Valg: Bør abort være lovligt?","Hvis folk har ret til at vælge, kan de træffe biased valg med hensyn til, hvilke fostre der skal aborteres",17,0,0,100,100,0,890.332
36,26,"Er mennesker fundamentalt anderledes end andre dyr?","Alle dyr er grundlæggende forskellige fra hinanden, og der er intet unikt ved mennesker, der adskiller dem fra dyr.",19,0,0,72.30566,74.11476,0,6539.328
37,213,"Etikken ved at spise dyr: Er det forkert at spise kød?","Vegetariske kostvaner bidrager direkte og indirekte til bedre sundhedsresultater for alle mennesker",13,0,0,91.24093,86.65787,1,5455.642
38,195,"Bør sexarbejde være lovligt?","Regeringen har ikke ret til at forbyde en interaktion mellem samtykkende voksne",12,0,0,99.44219,98.59795,0,3975.66
39,117,"Er videnskab lig religion?","Videnskab og religion ligner hinanden ved, at begge er blevet brugt til at forklare menneskets oprindelse",17,0,0,40.58607,41.0685,0,850.33
40,181,"Bør atomkraft erstatte fossile brændstoffer?","Kerneenergi rummer langt større potentiale end fossile brændsler til at udvikle sig gennem teknologiske gennembrud og øget effektivitet",17,0,0,86.77848,59.76256,0,2158.332
41,156,"Moderne teknologi er en ulempe for samfundet","Mange samfund ville ikke være mulige uden moderne teknologi - især store urbaniserede samfund",14,0,0,89.79365,91.12032,0,2973.664
42,49,"Skabte et guddommeligt væsen universet?","Videnskaben tilbyder alternative forklaringer på universets oprindelse.",10,0,0,100,100,0,2033.666
43,190,"Bør religion blive involveret i politik?","Næsten alle love er baseret på moralske overbevisninger, derfor er det passende, at religiøse personer deltager i politik",20,0,0,13.08772,13.44954,0,3208.996
44,134,"Hjælper eller skader sociale medier menneskelige relationer?","Det er blevet påvist, at sociale medier kan føre til depression hos individer",9,0,0,93.05003,93.29125,1,6117.996
45,24,"Er mennesker fundamentalt anderledes end andre dyr?","Mennesker har menneskelig bevidsthed, som ontologisk og fundamentalt adskiller sig fra enhver anden form for bevidsthed",16,0,0,79.05964,74.47659,0,896.663
