"Order","Index","Topic","Argument","Words","Condition_Share","Share","Agreement","Agreement.Contacts","New","Dwell.Time"
1,101,"Er det etisk forkert at se pornografi?","Onani er naturaligt og gavnligt og her er pornografi et brugbart hjælpemiddel",12,0,0,74.95901,76.64751,0,7980.97599999998
2,202,"Bør salget af genetisk modificeret mad forbydes?","Genetiske modificerede afgrøder kan bidrage til at reducere verdens sult og ernæringsmæssige mangler",12,0,0,68.44625,52.88797,0,11117.959
3,156,"Er moderne teknologi er en ulempe for samfundet?","Mange samfund ville ikke være mulige uden moderne teknologi - især store urbaniserede samfund",14,0,0,82.07481,75.56205,0,14542.314
4,173,"Bør abort betragtes som mord?","Da hensigten med abort er døden, bør sådanne procedurer betragtes som mord",11,0,0,4.52464,1.26826,0,6317.327
5,164,"Liv vs. valg: Bør abort være lovligt?","Mennesker har ret til selvbestemmelse over deres krop og bør kunne træffe et eget valg om, hvad der sker med deres kroppe",21,0,0,84.48695,89.67304,0,8537.31100000001
6,161,"Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?","Mennesker i nutidens samfund bør ændre deres livsstil, fordi livskvaliteten for kommende generationer er lige så vigtig.",19,0,0,73.51173,79.18025,0,10750.642
7,150,"Er moderne teknologi er en ulempe for samfundet?","Teknologi gør det muligt for enkeltpersoner at eje eller kontrollere ejendom på afstand, hvilket mindsker den enkeltes direkte ansvar for ejendommen",19,0,0,56.9886,50,0,13526.99
8,29,"Er mennesker fundamentalt anderledes end andre dyr?","Genetik beviser, at mennesker grundlæggende ligner andre arter",10,0,0,75.56205,73.75294,0,6107.99
9,272,"Bør der ikke være nogen begrænsning for ytringsfriheden?","Censur fører til snæversynethed, fordi det forhindrer ærlig og åben diskussion",11,0,0,74.11476,76.5269,0,9070.654
10,153,"Er moderne teknologi er en ulempe for samfundet?","For at undgå en katastrofe bør teknologisk udvkling følge med den hurtige forandring i vores samfund",17,0,0,85.3312,79.78328,0,12532.324
